epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,361.262,2.96651,4.57787,2.25006,0,0,0,0,2.94486,24.5453,2.2637,0.000324074,0.000324074,0.0679167
2,705.907,2.65362,2.96811,1.94043,0.00143,0.26374,0.0009,0.00031,nan,nan,nan,0.000657247,0.000657247,0.0349165
3,1125.01,2.54242,2.88215,1.9267,4e-05,0.01099,2e-05,0,nan,nan,nan,0.000989773,0.000989773,0.0019157
4,1385.12,2.53535,2.73806,1.9256,0.00129,0.01099,0.0003,6e-05,3.10463,34.3439,2.58929,0.000997803,0.000997803,0.000997803
5,1766.08,2.48878,2.546,1.85345,0.00031,0.07692,0.00017,5e-05,2.7421,inf,2.05636,0.000996097,0.000996097,0.000996097
6,2115.79,2.47624,2.539,1.84591,0.77014,0.16484,0.22516,0.0737,2.71927,7.32199,2.12557,0.000993906,0.000993906,0.000993906
7,2421.53,2.40268,2.44337,1.85954,0.02139,0.35165,0.01474,0.00507,2.63625,37.0871,2.07676,0.000991232,0.000991232,0.000991232
8,2717.65,2.47755,2.43287,1.8473,0.53659,0.24176,0.38741,0.14165,2.48698,2.56572,1.88131,0.000988079,0.000988079,0.000988079
9,3077.8,2.44417,2.4163,1.82319,0.52941,0.1978,0.34807,0.13337,2.48636,2.43999,1.93576,0.000984449,0.000984449,0.000984449
10,3391.8,2.3907,2.40189,1.83362,0.34783,0.17582,0.27707,0.11168,2.52286,2.65102,1.94192,0.000980345,0.000980345,0.000980345
11,3727.45,2.34976,2.27466,1.76999,0.6664,0.2967,0.39348,0.15177,2.3725,2.4528,1.79214,0.000975773,0.000975773,0.000975773
12,4040.62,2.32033,2.23547,1.76802,0.61765,0.23077,0.42664,0.18605,2.33895,2.38065,1.81015,0.000970736,0.000970736,0.000970736
13,4461.87,2.26793,2.23425,1.7334,0.51317,0.28964,0.37804,0.14859,2.42757,3.0172,1.93876,0.000965239,0.000965239,0.000965239
14,4902.11,2.24825,2.21043,1.7344,0.43661,0.2967,0.3267,0.10658,2.49824,2.77197,1.99255,0.000959289,0.000959289,0.000959289
15,5302.52,2.26611,2.18033,1.75051,0.59091,0.28571,0.45416,0.18028,2.33597,2.29139,1.85589,0.000952889,0.000952889,0.000952889
16,5637.02,2.27679,2.13544,1.75215,1,0.04396,0.52197,0.26172,2.33726,2.817,1.78808,0.000946048,0.000946048,0.000946048
17,6005.25,2.26487,2.09996,1.72646,0.59892,0.30769,0.42285,0.18714,2.36734,2.16641,1.77198,0.000938772,0.000938772,0.000938772
18,6332.08,2.1912,2.11951,1.67716,0.5819,0.34066,0.43752,0.16738,2.34473,2.49779,1.8364,0.000931067,0.000931067,0.000931067
19,6653.53,2.20373,2.06805,1.68147,0.68182,0.32967,0.52532,0.18562,2.35502,2.14056,1.76765,0.000922942,0.000922942,0.000922942
20,6924.06,2.18539,1.98703,1.68275,0.76,0.20879,0.47449,0.16353,2.29372,2.15108,1.76524,0.000914405,0.000914405,0.000914405
21,7302.88,2.10972,2.00357,1.64467,0.65601,0.24176,0.43088,0.14906,2.34162,2.30701,1.79324,0.000905463,0.000905463,0.000905463
22,7647.5,2.17073,2.0061,1.67294,0.65385,0.37363,0.5489,0.23281,2.25179,2.10267,1.78951,0.000896127,0.000896127,0.000896127
23,7962.9,2.12547,1.95404,1.60829,0.52308,0.37363,0.43277,0.18944,2.3191,2.21746,1.79393,0.000886404,0.000886404,0.000886404
24,8324.82,2.08209,1.96087,1.62242,0.44048,0.40659,0.45693,0.19751,2.29225,2.22983,1.79391,0.000876305,0.000876305,0.000876305
25,8645,2.07327,1.81408,1.61258,0.90909,0.21978,0.56624,0.24449,2.29635,2.036,1.80713,0.000865839,0.000865839,0.000865839
26,8901.69,2.09363,1.92339,1.62892,0.70213,0.36264,0.55135,0.24428,2.23693,2.151,1.78702,0.000855018,0.000855018,0.000855018
27,9209.28,2.12202,1.92377,1.63204,0.55932,0.36264,0.48676,0.18135,2.42373,2.09924,1.89301,0.000843851,0.000843851,0.000843851
28,9503.09,2.03695,1.8393,1.59346,0.7931,0.25275,0.53343,0.23653,2.27172,1.97405,1.75646,0.000832349,0.000832349,0.000832349
29,9813.71,2.0361,1.80207,1.61263,0.67692,0.48352,0.62219,0.27211,2.12713,2.03662,1.7045,0.000820525,0.000820525,0.000820525
30,10195,2.07585,1.80631,1.61175,0.67442,0.31868,0.52784,0.23282,2.31602,1.97415,1.79197,0.000808389,0.000808389,0.000808389
31,10584.5,2.04328,1.80082,1.60261,0.7907,0.37363,0.60208,0.2594,2.17893,1.95014,1.70938,0.000795954,0.000795954,0.000795954
32,400.451,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000783231,0.000783231,0.000783231
33,695.056,nan,nan,nan,0.83871,0.28571,0.57273,0.27143,nan,nan,nan,0.000770234,0.000770234,0.000770234
34,1100.91,nan,nan,nan,0.66938,0.43956,0.48455,0.20203,nan,nan,nan,0.000756976,0.000756976,0.000756976
35,1436.76,nan,nan,nan,0.53659,0.48352,0.5364,0.2275,nan,nan,nan,0.000743468,0.000743468,0.000743468
36,1863.98,nan,nan,nan,0.63333,0.41758,0.53985,0.24214,nan,nan,nan,0.000729725,0.000729725,0.000729725
